acc,accuracy,allowed_responses,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","843","843","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","bateau","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","843","843","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","3292","NA","NA","4139","2859","NA","NA","4639","2877","3263","NA","3292","NA","NA","New experiment","1024"
"100","100","NA","816","816","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","arit","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","789","789","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","5068","NA","NA","5863","2859","NA","NA","6363","2877","5037","NA","5068","NA","NA","New experiment","1024"
"100","100","NA","769","769","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","scie","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","675","675","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","6889","NA","NA","7569","2859","NA","NA","8069","2877","6868","NA","6889","NA","NA","New experiment","1024"
"100","100","NA","733","733","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","psus","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","628","628","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","8413","NA","NA","9045","2859","NA","NA","9546","2877","8393","NA","8413","NA","NA","New experiment","1024"
"80","80","NA","683","683","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","creuvé","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","o","o","NA","NA","484","484","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","9920","NA","NA","10408","2859","NA","NA","10909","2877","9901","NA","9920","NA","NA","New experiment","1024"
"66.6666666667","66.6666666667","NA","697","697","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","sire","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","e","e","NA","NA","768","768","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","11332","NA","NA","12184","2859","NA","NA","12684","2877","11309","NA","11332","NA","NA","New experiment","1024"
"57.1428571429","57.1428571429","NA","748","748","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","nazi","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","e","e","NA","NA","1050","1050","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","13073","NA","NA","14128","2859","NA","NA","14628","2877","13055","NA","13073","NA","NA","New experiment","1024"
"62.5","62.5","NA","723","723","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","avis","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","550","550","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","15034","NA","NA","15592","2859","NA","NA","16092","2877","15014","NA","15034","NA","NA","New experiment","1024"
"66.6666666667","66.6666666667","NA","710","710","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","sapove","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","603","603","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","16496","NA","NA","17104","2859","NA","NA","17604","2877","16480","NA","16496","NA","NA","New experiment","1024"
"60","60","NA","705","705","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","fers","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","e","e","NA","NA","664","664","NA","NA","NA","NA","legacy","experiment","None","17","odd","legacy","17980","NA","NA","18648","2859","NA","NA","19148","2877","17962","NA","17980","NA","NA","New experiment","1024"
