acc,accuracy,allowed_responses,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","1424","1424","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","hangar","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","1424","1424","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","465","NA","NA","1891","398","NA","NA","2391","398","462","NA","465","NA","NA","New experiment","1024"
"100","100","NA","982","982","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","barman","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","541","541","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","2454","NA","NA","2998","398","NA","NA","3498","398","2452","NA","2454","NA","NA","New experiment","1024"
"100","100","NA","827","827","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","habé","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","518","518","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","3553","NA","NA","4074","398","NA","NA","4574","398","3551","NA","3553","NA","NA","New experiment","1024"
"100","100","NA","772","772","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","phares","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","606","606","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","4628","NA","NA","5238","398","NA","NA","5738","398","4625","NA","4627","NA","NA","New experiment","1024"
"100","100","NA","701","701","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","chance","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","420","420","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","5792","NA","NA","6215","398","NA","NA","6715","398","5789","NA","5792","NA","NA","New experiment","1024"
"100","100","NA","686","686","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","hans","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","612","612","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","6777","NA","NA","7391","398","NA","NA","7891","398","6775","NA","6777","NA","NA","New experiment","1024"
"100","100","NA","683","683","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","atte","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","660","660","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","7947","NA","NA","8609","398","NA","NA","9109","398","7945","NA","7947","NA","NA","New experiment","1024"
"100","100","NA","674","674","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","aplété","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","616","616","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","9161","NA","NA","9779","398","NA","NA","10279","398","9158","NA","9161","NA","NA","New experiment","1024"
"100","100","NA","671","671","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","zair","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","642","642","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","10333","NA","NA","10977","398","NA","NA","11477","398","10331","NA","10333","NA","NA","New experiment","1024"
"100","100","NA","679","679","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","glax","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","757","757","NA","NA","NA","NA","legacy","experiment","None","20","even","legacy","11537","NA","NA","12296","398","NA","NA","12796","398","11535","NA","11537","NA","NA","New experiment","1024"
