acc,accuracy,allowed_responses,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","1169","1169","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","scie","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","1169","1169","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","3095","NA","NA","4269","2699","NA","NA","4769","2699","3055","NA","3095","NA","NA","New experiment","1024"
"100","100","NA","835","835","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","espèce","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","501","501","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","5219","NA","NA","5725","2699","NA","NA","6225","2699","5168","NA","5219","NA","NA","New experiment","1024"
"100","100","NA","761","761","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","pnel","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","613","613","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","6594","NA","NA","7212","2699","NA","NA","7712","2699","6571","NA","6594","NA","NA","New experiment","1024"
"100","100","NA","692","692","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","poètes","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","486","486","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","8093","NA","NA","8584","2699","NA","NA","9084","2699","8067","NA","8093","NA","NA","New experiment","1024"
"80","80","NA","650","650","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","hangar","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","e","e","NA","NA","484","484","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","9470","NA","NA","9959","2699","NA","NA","10459","2699","9444","NA","9470","NA","NA","New experiment","1024"
"83.3333333333","83.3333333333","NA","652","652","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","zair","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","664","664","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","10855","NA","NA","11524","2699","NA","NA","12024","2699","10831","NA","10854","NA","NA","New experiment","1024"
"85.7142857143","85.7142857143","NA","640","640","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","café","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","567","567","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","12395","NA","NA","12967","2699","NA","NA","13468","2699","12363","NA","12395","NA","NA","New experiment","1024"
"87.5","87.5","NA","681","681","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","setéte","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","970","970","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","13842","NA","NA","14816","2699","NA","NA","15316","2699","13816","NA","13842","NA","NA","New experiment","1024"
"88.8888888889","88.8888888889","NA","690","690","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","oies","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","761","761","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","15701","NA","NA","16467","2699","NA","NA","16967","2699","15673","NA","15701","NA","NA","New experiment","1024"
"90","90","NA","669","669","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","soir","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","479","479","NA","NA","NA","NA","legacy","experiment","None","10","even","legacy","17356","NA","NA","17839","2699","NA","NA","18339","2699","17328","NA","17356","NA","NA","New experiment","1024"
