acc,accuracy,allowed_responses,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","1138","1138","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","rien","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","1138","1138","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","3290","NA","NA","4432","2794","NA","NA","4932","2795","3181","NA","3290","NA","NA","New experiment","1024"
"100","100","NA","941","941","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","nazi","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","745","745","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","5478","NA","NA","6227","2794","NA","NA","6728","2795","5391","NA","5477","NA","NA","New experiment","1024"
"100","100","NA","943","943","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","fers","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","948","948","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","7216","NA","NA","8170","2794","NA","NA","8670","2795","7163","NA","7215","NA","NA","New experiment","1024"
"100","100","NA","864","864","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","type","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","625","625","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","9152","NA","NA","9781","2794","NA","NA","10281","2795","9064","NA","9152","NA","NA","New experiment","1024"
"100","100","NA","835","835","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","lylors","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","723","723","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","10753","NA","NA","11479","2794","NA","NA","11979","2795","10666","NA","10753","NA","NA","New experiment","1024"
"100","100","NA","793","793","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","hommes","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","580","580","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","12422","NA","NA","13005","2794","NA","NA","13505","2795","12366","NA","12422","NA","NA","New experiment","1024"
"100","100","NA","754","754","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","girl","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","525","525","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","13988","NA","NA","14516","2794","NA","NA","15016","2795","13901","NA","13988","NA","NA","New experiment","1024"
"100","100","NA","742","742","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","fils","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","656","656","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","15481","NA","NA","16140","2794","NA","NA","16640","2795","15414","NA","15481","NA","NA","New experiment","1024"
"100","100","NA","740","740","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","bienla","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","720","720","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","17135","NA","NA","17858","2794","NA","NA","18358","2795","17071","NA","17135","NA","NA","New experiment","1024"
"100","100","NA","733","733","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","exré","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","677","677","NA","NA","NA","NA","legacy","experiment","None","16","even","legacy","18792","NA","NA","19473","2794","NA","NA","19973","2795","18750","NA","18791","NA","NA","New experiment","1024"
